Local;strain;Date;Wait time (h);Incubation Position;Light intensity;Control growth rate (day-1);S.D.;RO5 Spation control growth rate (day-1);Start Density (RFU);Concentration;Well position;Growth_rate;Inhibition RAW;Inhibition;Replicate;Running ID
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;12.85972981;D01;0.427163899;0.6215503;0.6215503;5;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;11.02373441;D02;0.861241953;0.236974942;0.236974942;7;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;15.00150898;D03;-0.028043718;1.024845584;1;3;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;12.85972981;D04;0.540050145;0.521537714;0.521537714;5;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;11.02373441;D05;0.70120624;0.378760022;0.378760022;7;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;0;A04;1.013768842;0.101842373;0.101842373;Control 1;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;0;B01;1.263364099;-0.119288791;-0.119288791;Control 2;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;0;B06;1.007370248;0.107511265;0.107511265;Control 3;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;0;C03;1.376196258;-0.219253458;-0.219253458;Control 4;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;0;D06;0.982902584;0.129188612;0.129188612;Control 5;GP_6
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;17.5;A01;-0.914403582;2.438736083;1;1;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;16.20266667;A02;-0.355401395;1.559193797;1;2;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;15.00150898;A03;-0.183123708;1.288129544;1;3;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;13.88939711;A05;-0.227813578;1.358445244;1;4;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;12.85972981;A06;-0.537920852;1.846372602;1;5;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;11.90639517;B02;0.474090334;0.254059276;0.254059276;6;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;11.02373441;B03;0.548950361;0.136273405;0.136273405;7;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;10.20650823;B04;0.272167109;0.571768256;0.571768256;8;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;9.449865754;B05;0.454672296;0.284611903;0.284611903;9;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;8.749315706;C01;0.757384251;-0.191679551;-0.191679551;10;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;8.100699768;C02;0.826384391;-0.300245389;-0.300245389;11;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;7.500167892;C05;0.659334864;-0.037407199;-0.037407199;12;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;15.00150898;C06;-0.465939453;1.733116008;1;3;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;12.85972981;D01;NA;NA;1;5;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;11.02373441;D02;-0.196396557;1.30901324;1;7;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;15.00150898;D03;-0.287643747;1.452582914;1;3;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;12.85972981;D04;-0.165336994;1.260143664;1;5;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;11.02373441;D05;-0.665223279;2.046672119;1;7;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;0;A04;0.833492177;-0.311428886;-0.311428886;Control 1;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;0;B01;0.978710072;-0.539916864;-0.539916864;Control 2;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;0;B06;0.9302273;-0.463633354;-0.463633354;Control 3;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;0;C03;0.377388867;0.406210791;0.406210791;Control 4;GP_7
GP;GP2-4_71;43388;4.9;B1;172;0.635560332;0.401249668;1.317951488;0.003848322;0;D06;0.057983241;0.908768313;0.908768313;Control 5;GP_7
GP;GP2-4_39;43388;4.966666667;B2;181;1.474986687;0.090081457;1.430498652;0.003624119;17.5;A01;-0.745996757;1.505765078;1;1;GP_8
GP;GP2-4_39;43388;4.966666667;B2;181;1.474986687;0.090081457;1.430498652;0.003624119;16.20266667;A02;-0.740065632;1.50174394;1;2;GP_8
GP;GP2-4_39;43388;4.966666667;B2;181;1.474986687;0.090081457;1.430498652;0.003624119;15.00150898;A03;-0.307861712;1.208721688;1;3;GP_8
GP;GP2-4_39;43388;4.966666667;B2;181;1.474986687;0.090081457;1.430498652;0.003624119;13.88939711;A05;-0.38998951;1.264402054;1;4;GP_8
GP;GP2-4_39;43388;4.966666667;B2;181;1.474986687;0.090081457;1.430498652;0.003624119;12.85972981;A06;-0.376651218;1.255359063;1;5;GP_8
GP;GP2-4_39;43388;4.966666667;B2;181;1.474986687;0.090081457;1.430498652;0.003624119;11.90639517;B02;0.697426159;0.527164438;0.527164438;6;GP_8
