"Strain"	"Predict"	"Predict_low"	"Predict_high"	"EC05"	"EC05_SE"	"EC05_Low"	"EC05_high"	"EC50"	"EC50_SE"	"EC50_Low"	"EC50_high"	"EC95"	"EC95_SE"	"EC95_Low"	"EC95_high"
"37"	"VG1-2_58"	"0.725755076120129"	"0.65446993137776"	"0.797040220862497"	"5.63338269780603"	"0.260686742637043"	"5.11652369464124"	"6.20245356298805"	"7.96202518018426"	"0.0957234526757867"	"7.76542531449775"	"8.16360243031818"	"9.67144568522188"	"0.215494137656623"	"9.23352537524492"	"10.1301353319469"
"38"	"VG1-2_61"	"0.893797197193579"	"0.846606298721353"	"0.940988095665806"	"5.56418942868814"	"0.151843662699477"	"5.25720650666755"	"5.88909793805112"	"7.54187541369313"	"0.0513092537283964"	"7.43592325907062"	"7.64933724756837"	"8.94805821773015"	"0.120226973246544"	"8.70149332636958"	"9.20160975418387"
"39"	"VG1-2_63"	"0.769220976414087"	"0.526596156164204"	"1.01184579666397"	"6.94092484528691"	"0.552037560422382"	"5.88281628476083"	"8.18934934832488"	"8.23510351628969"	"0.204561873701215"	"7.82049495106089"	"8.67169282102881"	"9.06589852783705"	"0.294222064529689"	"8.47422132498389"	"9.69888712662272"
"40"	"VG1-2_64"	"0.817126329480171"	"0.755541299749439"	"0.878711359210903"	"4.57044472123149"	"0.289257339234513"	"4.00680646781584"	"5.21337007854528"	"7.34626678248999"	"0.116774861753481"	"7.107390205109"	"7.59317190728073"	"9.59254253019164"	"0.251570115624928"	"9.08338454733419"	"10.1302407394544"
"41"	"VG1-2_65"	"0.947149730995797"	"0.911034996965477"	"0.983264465026117"	"4.36413503025018"	"0.207388349307334"	"3.95347343181079"	"4.81745353567062"	"6.77617699963975"	"0.0812594996325787"	"6.60927837822731"	"6.94729017341864"	"8.6777494261715"	"0.165988242461631"	"8.33933351138096"	"9.02989849256549"
"42"	"VG1-2_66"	"0.610470792352827"	"0.500788999191935"	"0.720152585513719"	"5.89283186099108"	"0.459958890360734"	"5.00989305082535"	"6.93137897149136"	"8.30654145145738"	"0.165871450525036"	"7.96865716025003"	"8.65875259748466"	"10.0748140772572"	"0.377312261110805"	"9.31992846567748"	"10.8908431073373"
"43"	"VG1-2_67"	"0.999838941142227"	"0.998817153928362"	"1.00086072835609"	"4.43121751245084"	"0.262486995577369"	"3.91762913382315"	"5.0121356493714"	"6.21953832295175"	"0.10138195474854"	"6.01223650592367"	"6.4339879032624"	"7.52538460494545"	"0.200596011778841"	"7.11957412625375"	"7.95432598187566"
"44"	"VG1-2_72"	"0.835308772209733"	"0.765499099794601"	"0.905118444624865"	"5.5596486580575"	"0.238385179316584"	"5.08535972775202"	"6.07817241174877"	"7.68177323829122"	"0.0833473302058241"	"7.51038384891626"	"7.85707378898381"	"9.21292493638843"	"0.182887049718233"	"8.84033418683748"	"9.60121914960001"
"45"	"VG1-2_74"	"0.498172503361655"	"0.45332707283306"	"0.543017933890249"	"6.16739915617165"	"0.186490341283014"	"5.79151362387015"	"6.56768071731287"	"8.65634608424757"	"0.0700965557578671"	"8.51179287806115"	"8.8033541938507"	"10.4737871584251"	"0.153522619253431"	"10.1593363734197"	"10.7979707933488"
"46"	"VG1-2_78"	"0.861894449067768"	"0.807793259376619"	"0.915995638758916"	"6.26973771134063"	"0.136414017453842"	"5.9923715810351"	"6.559942159364"	"7.88639153653797"	"0.0496950141811593"	"7.78371929543897"	"7.99041809023384"	"8.97193972880794"	"0.0961411492179545"	"8.77421456365237"	"9.17412059089823"
